eventRemarks
Material doado Laboratório de Oceanografia Biológica/UFPA
""
Material doado Laboratório de Oceanografia Biológica/UFPA
Os individuos foram coletados com pegador Petitponar.
"Material doado Laboratório de Oceanografia Biológica/UFPA; Projeto RECOS – Instituto do Milênio"
""
""
""
""
""
""
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
"Material doado Laboratório de Oceanografia Biológica/UFPA; Projeto RECOS – Instituto do Milênio"
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
""
""
""
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
""
"Material doado Laboratório de Oceanografia Biológica/UFPA; Projeto RECOS – Instituto do Milênio"
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
"Material doado Laboratório de Oceanografia Biológica/UFPA; Projeto RECOS – Instituto do Milênio"
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
Material doado Laboratório de Oceanografia Biológica/UFPA
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
Amazôna Azul
""
""
""
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
Amazôna Azul
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
Material doado Laboratório de Oceanografia Biológica/UFPA
Material doado Laboratório de Oceanografia Biológica/UFPA
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
Terra firme, margem direita do rio Xingú, pitfall - pequenos mamíferos
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
Coleta na Sede da Caramuru Alimentos S.A.
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
Coleta na Sede da Caramuru Alimentos S.A.
""
""
""
Coleta na Sede da Caramuru Alimentos S.A.
Coleta na Sede da Caramuru Alimentos S.A.
""
Coleta na Sede da Caramuru Alimentos S.A.
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
""
